Name;ART;HANDLUNG;REICHWEITE;DAUER;SEITE;Widerstand;Elementarschaden;Erläuterungen
Tiefe Wunden;P;Auto;S;I;CR S. 199;;;TIEFE WUNDEN Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Schaden, der von dem Critter verursacht wird, hat langfristige Wirkung. Jedes Körperliche Schadenskästchen, das von den Angriffen des Critters verursacht wird, wird besonders markiert. Solche Kästchen zählen für Heilung und Genesung doppelt – man braucht also bei Heilungs- und Genesungsproben pro Kästchen 2 Erfolge, um es zu heilen. Für Verletzungsmodikatoren, den erlittenen Gesamtschaden, Niederschlag und so weiter zählen sie als normale Schadenskästchen. Wenn eines dieser markierten Kästchen durch die Heilung nur eines Kästchens geheilt wird, verschwindet es nicht, sondern wird zu einem normalen Schadenskästchen.
Tierbeherrschung;M;Komplex;BF;A;SR5 S. 400;;;TIERBEHERRSCHUNG Art: M Handlung: Komplex Reichweite: BF Dauer: Aufrechterhalten Einige Critter können andere Critter manipulieren, vor allem (aber nicht nur) weltliche. Mit dieser Kraft kann ein Critter das Verhalten eines Tieres oder einer Gruppe von Tieren kontrollieren. Das Verhalten muss für das beherrschte Tier natürlich sein. Ein Schwarm Vögel beispielsweise kann kein Motorrad stehlen oder eine Pistole abfeuern, aber er könnte jemanden angreifen, jemandem folgen oder einfach davonfliegen. Wenn der Zielcritter das Blickfeld des beherrschenden Critters verlässt, können ihm keine Befehle mehr erteilt werden, aber er befolgt bereits erteilte Befehle noch für einen Zeitraum, der dem Charisma des beherrschenden Critters in Minuten entspricht. Ein Critter kann so viele kleine Tiere (Katzen, Ratten usw.) beherrschen, wie seinem Charisma x 5 entspricht, oder so viele größere Tiere (Wölfe, Löwen, Bären usw.), wie seinem Charisma entspricht. Diese Kraft kann nicht gegen Critter mit der Kraft Bewusstsein eingesetzt werden.
Todesaura;P;Einfach;Speziell;A;SG S. 230;CHA+WIL;;TODESAURA Art: P Handlung: Einfach Reichweite: Speziell Dauer: Aufrechterhalten Der Geist strahlt eine Aura von Angst und Verwesung aus, die die Umgebung befleckt. In einem Umkreis von [Kraftstufe] Metern um den Geist sinkt die Temperatur um [Kraftstufe x 2] °C. Organisches Material innerhalb des Bereichs zerfällt schneller: Die normale Zerfallsgeschwindigkeit wird mit der Kraftstufe des Geistes multipliziert. Dieser Effekt ist nicht schnell genug, dass Metamenschen oder andere große Critter Schaden nehmen könnten, aber die Aura tötet Pflanzen und kleine Kreaturen wie zum Beispiel Insekten und Mäuse. Die Aura erfüllt Lebewesen mit namenlosem Grauen. Wer den von der Kraft betroffenen Bereich betreten will, muss eine Vergleichende Probe auf Charisma + Willenskraft gegen die doppelte Kraftstufe des Geistes ablegen oder fliehen, bis er außer Sichtweite des Geistes ist.
Umrennen;P;Komplex;B;S;CR S. 200;;;UMRENNEN Art: P Handlung: Komplex Reichweite: B Dauer: Sofort Der Critter springt das Ziel aus vollem Lauf an und wirft es um. Er führt einen normalen Angriff (meist Waffenloser Kampf) durch und zieht die Anzahl an Metern, die er auf das Ziel zugelaufen oder -gesprintet ist, bei der Bestimmung des Niederschlags (SR5, S. 194) vom Körperlichen Limit des Ziels ab.
Unfall;P;Komplex;BF;S;SR5 S. 400;MAG+WIL vs. REA+INT;;UNFALL Art: P Handlung: Komplex Reichweite: BF Dauer: Sofort Critter mit dieser Kraft können scheinbar normale Unfälle geschehen lassen. Die genaue Art des Unfalls bleibt dem Spielleiter überlassen und hängt davon ab, was das Opfer gerade tut und was um es herum vorgeht. Diese Kraft ist von Haus aus nicht unbedingt gefährlich, kann aber je nach Umständen und Umgebung gefährliche Folgen haben. Vor einem heranrasenden Sattelzug über die eigenen Füße zu stolpern, könnte sich zum Beispiel als relativ gesundheitsschädlich erweisen. Wenn ein Critter diese Kraft auf jemanden anwendet, wird eine Vergleichende Probe auf Magie + Willenskraft des Critters gegen Reaktion + Intuition des Opfers abgelegt. Gewinnt der Critter, behandeln Sie die Situation, als hätte der Charakter bei einer Probe einen Patzer gewürfelt. Gelingen dem Critter gar 4 oder mehr Nettoerfolge, so entspricht der Unfall einem Kritischen Patzer – er ist nicht nur ein peinlicher Ausrutscher, sondern eine potenzielle Katastrophe. Ein Critter kann diese Kraft gegen so viele Ziele gleichzeitig einsetzen, wie seinem Magieattribut entspricht.
Veränderliche Gestalt;P;Auto;S;Speziell;SG S. 239;;;VERÄNDERLICHE GESTALT(nur freie Geister) Art: P Handlung: Automatisch Reichweite: Selbst Dauer: Speziell Geister materialisieren normalerweise immer in derselben Gestalt, aber diese Kraft erlaubt es Freien Geistern, jedes Mal anders zu erscheinen. Die Aura des Geistes bleibt allerdings unverändert. Wenn der Geist gleichzeitig die Kraft Realistische Gestalt (S. 229) besitzt, addiert sich die Kraftstufe als Würfelpoolbonus zu Verkleidenproben (SR5, S. 135) zum Nachahmen von Personen. Diese Kraft steht nur Geistern mit der Kraft Materialisierung zur Verfügung.
Verbannungsresistenz;M;Auto;S;Speziell;SG S. 230;;;VERBANNUNGSRESISTENZ Art: M Handlung: Automatisch Reichweite: Selbst Dauer: Speziell Beim Widerstand gegen Verbannen (SR5, S. 300) wird der Geist behandelt, als wäre er eine Anzahl von Diensten in Höhe seines Edgeattributs schuldig. Diese Dienste regenerieren sich zu Sonnenauf- und -untergang und werden zu den Diensten addiert, die der Geist tatsächlich noch schuldet.
Verborgenes Leben;P;Komplex;B;P;SG S. 240;;;VERBORGENES LEBEN (große Kraft) Art: P Handlung: Komplex Reichweite: Berührung Dauer: Permanent Der Geist verwendet diese Kraft, um seine Lebenskraft permanent in einer Kreatur, einer Landschaft oder einem Gegenstand zu platzieren. Solange dieses Versteck sicher bleibt, kann der Geist nicht permanent verbannt oder vernichtet werden. Er kann nach einem Verbannen mit seiner Geisterformel nach einem Jahr und einem Tag zurückkehren, aber ein Charakter, der eine Kopie seiner Geisterformel besitzt, kann ihn auch früher rufen. Das Versteck erhält die Kräfte Immunität gegen Normale Waffen mit einer Magie gleich der Kraftstufe des Geistes sowie Immunität gegen Alter (SR5, S. 398). Wenn das Versteck vernichtet wird, kehrt die Lebenskraft zum Geist zurück und er lebt weiter wie zuvor.
Verschiebung;P;Komplex;BF;A;CR S. 200;;;VERSCHIEBUNG Art: P Handlung: Komplex Reichweite: BF Dauer: Aufrechterhalten Das Ziel dieser Kraft wird leicht auf die Astralebene verschoben – nicht genug, um von astralen Wesen aufs Korn genommen werden zu können, aber genug, um die Interaktion mit der physischen Welt zu erschweren. Alle Proben des Ziels auf Aktionsfertigkeiten erhalten einen Würfelpoolmalus in Höhe des Magieattributs des Geistes. Dies betrifft auch andere Personen, die mit dem Ziel interagieren, was positiv oder negativ sein kann: Natürlich sind Angriffsproben von Wachen oder Wahrnehmungsproben von Bewegungssensoren erschwert, aber das gilt auch für die Erste-Hilfe-Probe des DocWagon-Sanitäters oder die Wahrnehmungsprobe des Lkw-Fahrers, um das Ziel rechtzeitig zu sehen und es nicht zu überfahren.
Verschleierung;P;Einfach;BF;A;SR5 S. 401;;;VERSCHLEIERUNG Art: P Handlung: Einfach Reichweite: BF Dauer: Aufrechterhalten Ein Critter mit dieser Kraft kann sich selbst, andere Lebewesen oder Gegenstände, die von anderen gesucht werden, verstecken. Die Kraft verringert den Würfelpool bei Wahrnehmungsproben, um das Versteckte zu entdecken, um eine Anzahl von Würfeln gleich dem Magieattribut des Critters. Verschleierung kann gleichzeitig auf so viele metamenschengroße Ziele angewendet werden, wie der Magiestufe des Critters entspricht, oder gegen eine Anzahl deutlich kleinerer Ziele (Katzen, Babys, Ratten usw.) entsprechend seiner Magie x 5. Verschleierte Lebewesen können sich gegenseitig sehen, wenn der Critter es zulässt. Die Wirkung hält an, bis das Ziel entdeckt wird oder der Critter die Kraft nicht länger aufrechterhält.
Verschlingen;P;Komplex;B;A;SR5 S. 401;;;"VERSCHLINGEN Art: P Handlung: Komplex Reichweite: B Dauer: Aufrechterhalten Diese Kraft ermöglicht einem Critter, ein Opfer in sich selbst oder in das von ihm beherrschte Terrain hineinzuziehen, es zu verschlingen oder zu ersticken und ihm dadurch Schaden zuzufügen. Es handelt sich dabei um einen Nahkampfangriff. Ist der Critter erfolgreich, verursacht er Schaden in Höhe seines Magieattributs x 2 (spezielle elementare Effekte siehe unten) und hält das Opfer fest umschlungen. Nettoerfolge des Nahkampfangriffs erhöhen den Schaden auf normale Weise. Das Opfer kann wie üblich eine Schadenswiderstandsprobe mit Konstitution + Panzerung ablegen; der Angriff hat eine Durchschlagskraft von –(Magieattribut des Critters). Sobald das Opfer einmal umschlungen ist, ist es gefangen und kann sich nicht mehr bewegen. In jeder Handlungsphase nach dieser verursacht der Critter automatisch erneut Schaden wie oben, bis das Opfer entkommen kann; das Opfer kann jedes Mal eine Schadenswiderstandsprobe ablegen. In der Handlungsphase des Opfers kann es mit einer Komplexen Handlung versuchen, zu entkommen. Dazu legt es eine Vergleichende Probe auf Stärke + Konstitution gegen Magie + Konstitution des Critters ab. Ist das Opfer erfolgreich, kann es entkommen und erleidet keinen weiteren Schaden. Einige Verschlingen-Kräfte haben sekundäre Effekte: Verschlingen durch Erde: Das Opfer widersteht Körperlichem Schaden. Verschlingen durch Feuer: Das Opfer widersteht Feuerschaden (S. 174). Verschlingen durch Luft: Das Opfer widersteht Geistigem Schaden wie bei einem Toxinangriff mit Inhalationsvektor (S. 410). Panzerung schützt nicht gegen diesen Angriff, möglicherweise jedoch andere Schutzausrüstung (s. Tabelle Schutz vor Toxinen und Drogen, S. 410). Wird das Opfer durch den Geistigen Schaden bewusstlos, erleidet es weiter Schaden, wobei der überschüssige Geistige Schaden nach den normalen Regeln in Körperlichen Schaden übergeht. Verschlingen durch Wasser: Das Opfer widersteht Geistigem Schaden. Dies ist schlimmer als normales Ertrinken, denn der Critter kann großen Druck auf das Opfer ausüben. Wird das Opfer durch den Geistigen Schaden bewusstlos, erleidet es weiter Schaden, wobei der überschüssige Geistige Schaden nach den normalen Regeln in Körperlichen Schaden übergeht."
Verschlingen (Feuer);P;Komplex;B;A;SR5 S. 401;;;"VERSCHLINGEN Art: P Handlung: Komplex Reichweite: B Dauer: Aufrechterhalten Diese Kraft ermöglicht einem Critter, ein Opfer in sich selbst oder in das von ihm beherrschte Terrain hineinzuziehen, es zu verschlingen oder zu ersticken und ihm dadurch Schaden zuzufügen. Es handelt sich dabei um einen Nahkampfangriff. Ist der Critter erfolgreich, verursacht er Schaden in Höhe seines Magieattributs x 2 (spezielle elementare Effekte siehe unten) und hält das Opfer fest umschlungen. Nettoerfolge des Nahkampfangriffs erhöhen den Schaden auf normale Weise. Das Opfer kann wie üblich eine Schadenswiderstandsprobe mit Konstitution + Panzerung ablegen; der Angriff hat eine Durchschlagskraft von –(Magieattribut des Critters). Sobald das Opfer einmal umschlungen ist, ist es gefangen und kann sich nicht mehr bewegen. In jeder Handlungsphase nach dieser verursacht der Critter automatisch erneut Schaden wie oben, bis das Opfer entkommen kann; das Opfer kann jedes Mal eine Schadenswiderstandsprobe ablegen. In der Handlungsphase des Opfers kann es mit einer Komplexen Handlung versuchen, zu entkommen. Dazu legt es eine Vergleichende Probe auf Stärke + Konstitution gegen Magie + Konstitution des Critters ab. Ist das Opfer erfolgreich, kann es entkommen und erleidet keinen weiteren Schaden. Einige Verschlingen-Kräfte haben sekundäre Effekte: Verschlingen durch Feuer: Das Opfer widersteht Feuerschaden (S. 174). FEUERSCHADEN Feuer verursacht Körperlichen Schaden und kann Dinge entzünden. Um zu bestimmen, ob etwas zu brennen beginnt, würfeln Sie mit Panzerungswert + Feuerresistenz – Feuer-DK (s. Tabelle unten). Der Schwellenwert dieser Probe ergibt sich durch die Anzahl der Nettoerfolge des Feuerangriffs. Wenn der Gegenstand gewinnt, brennt er (vorerst) nicht. Zusatzpanzerung ist von dieser Probe ausgenommen, aber der Spielleiter kann, wenn es ihm passend erscheint, auch dafür eine Probe verlangen. Wenn etwas zu brennen beginnt, hat das Feuer zu Anfang einen Schadenscode von 3K. Dieser Schaden wird am Ende jeder Kampfrunde verursacht, und der Schadenscode steigt zu Beginn jeder folgenden Kampfrunde um 1, bis der Gegenstand zerstört ist oder das Feuer gelöscht wird. Man kann Feuer auf verschiedene Arten bekämpfen (Wasser, Ersticken usw.), was durch eine Probe auf Geschicklichkeit + Intuition erfolgt. Jeder Erfolg bei dieser Probe senkt den Schadenscode des Feuers um 1. Solange aber das Feuer noch brennt, kann es Entflammbares in der Umgebung (wie Möbel, Fahrzeuge oder Pflanzen) entzünden. Außerdem zerstört das Feuer langsam die Panzerung und reduziert den Panzerungswert in jeder Kampfrunde um 1, bis es gelöscht ist. DURCHSCHLAGSKRAFT VON FEUER ART DES FEUERS DK Offene Flammen -2 Auf Feuer basierende Zauber -(Kraftstufe des Zaubers) Flammenbasierte Waffe -6"
Verschwinden;M;Frei;S;Speziell;CR S. 201;;;VERSCHWINDEN Art: M Handlung: Frei Reichweite: Selbst Dauer: Speziell Kurz gesagt kann ein Critter mit dieser Kraft spurlos verschwinden. Physische und astrale Gestalt verschwinden einfach, ungehindert von physischen oder magischen Barrieren. Einige Critter können eine Komplexe Handlung aufwenden, um wieder aufzutauchen, aber in vielen Fällen wird das Verschwinden von einem bestimmten Vorfall (wie dem Tod des Critters) ausgelöst, der das Wiederauftauchen schwierig macht.
Verstärkter Mystischer Panzer;M;Auto;S;I;SR5 S. 401;;;VERSTÄRKTER MYSTISCHER PANZER Art: M Handlung: Auto Reichweite: Selbst Dauer: Immer Diese Kraft bietet Schutz gegen Angriffe auf der Astralebene. Ansonsten funktioniert sie genauso wie die Kraft Verstärkter Panzer.
Verstärkter Panzer;P;Auto;S;I;SR5 S. 401;;;"VERSTÄRKTER PANZER Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Es gibt Panzerung, und es gibt Panzerung. Dies hier ist Letzteres. Diese Kraft liefert ihren Wert an Panzerung und funktioniert ähnlich wie die Kraft Panzer, mit folgenden Unterschieden: Wenn der modi zierte Schadenscode eines Angriffs nicht größer ist als der (durch die DK modi zierte) Wert des Verstärkten Panzers, richtet der Angriff keinen Schaden an. Es wird keine Schadenswiderstandsprobe für den Critter abgelegt; möglicherweise hat er den Angriff gar nicht bemerkt. Ist der modi zierte Schadenscode des Angriffs größer als der (durch die DK modi zierte) Wert des Verstärkten Panzers, dann wird ganz normal eine Schadenswiderstandsprobe für den Critter abgelegt. Dabei gilt zusätzlich der halbe Wert des Verstärkten Panzers (modi ziert durch DK, aufgerundet) als automatische Erfolge bei dieser Probe"
Versteinerung;P;Komplex;BF;A;SR5 S. 401;;;"VERSTEINERUNG Art: P Handlung: Komplex Reichweite: BF Dauer: Aufrechterhalten Beim Anblick mancher Kreaturen ist man vor Angst wie versteinert. Ein Critter mit dieser Kraft kann sein Opfer buchstäblich versteinern. Es wird eine Vergleichende Probe auf Magie + Willenskraft des Critters gegen Intuition + Willenskraft des Opfers abgelegt. Gewinnt das Opfer, erleidet es keine negativen Auswirkungen. Gewinnt der Critter, werden pro Nettoerfolg Geschicklichkeit und Reaktion des Opfers um jeweils 1 gesenkt; die verringerte Reaktion wirkt sich auch auf Initiative und Initiativeergebnis des Opfers aus. Die Auswirkungen halten so lange an, wie der Critter die Kraft aufrechterhält. Sobald die Auswirkungen enden, regenerieren sich Geschicklichkeit und Reaktion des Opfers pro Minute um jeweils 1 Punkt. Sobald Geschicklichkeit oder Reaktion auf 0 sinken, wird das Opfer in eine Steinstatue verwandelt. Es bleibt eine Statue, solange der Critter die Kraft aufrechterhält. Wirkt die Kraft nicht mehr, verwandelt sich das Opfer wieder zurück und regeneriert Geschicklichkeit und Reaktion mit einer Geschwindigkeit von jeweils 1 Punkt pro Minute. Im versteinerten Zustand bekommt das Opfer nichts von seiner Umgebung und eventuellen Geschehnissen mit. Es hat eine Barrierestufe von (Magieattribut des Critters) x 2."
Vertreibung;P;Komplex;B;S;SG S. 240;;;VERTREIBUNG (große Kraft) Art: P Handlung: Komplex Reichweite: Berührung Dauer: Sofort Ein Geist mit der Kraft Besessenheit kann versuchen, die Lebenskraft eines lebenden Gefäßes zu vertreiben, indem er sie entweder als astral projizierende Gestalt hinausdrängt oder in sein vorheriges Gefäß verp anzt. Wenn das frühere Gefäß bereits eine Lebenskraft enthält, die von einer Besessenheit unterworfen wurde, wird das Opfer zur astralen Projektion gezwungen. Folgen Sie den normalen Regeln für Besessenheit (S. 224). Opfer, die in ein lebendes oder unbelebtes Geistergefäß gezwungen werden, können es nicht wie ein Besessenheitsgeist steuern und sind darin gefangen. Die wenigen Fluchtmöglichkeiten sind die erneute Anwendung dieser Kraft durch einen Freien Geist, ein freiwilliges astrales Projizieren des Opfers oder der Kontakt des Geistergefäßes mit einem astralen Riss oder einem Wesen mit der Kraft Astrales Tor (S. 224). Ein Opfer, das in einem unbelebten Geistergefäß gefangen ist, spürt, wie seine Lebenskraft versiegt, und stirbt nach [Magie oder Essenz] x 2 Stunden (bei Opfern mit Magieattribut wird für die Berechnung Magie verwendet, bei allen anderen Essenz).
Verwirrung;M;Komplex;BF;A;SR5 S. 402;;;VERWIRRUNG Art: M Handlung: Komplex Reichweite: BF Dauer: Aufrechterhalten Diese Kraft macht das Opfer unfähig, klar zu denken. Es wird unentschlossen, vergesslich und verwirrt. Der Critter legt eine Vergleichende Probe auf Magie + Willenskraft gegen Willenskraft + Logik des Opfers ab. Die Anzahl der Nettoerfolge des Critters wird zum negativen Würfelpoolmodifikator für alle Handlungen, die das Opfer durchführt.
Wandhaftung;P;Auto;S;I;CR S. 202;;;WANDHAFTUNG Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Critter mit dieser Kraft können sich an Wänden, Decken und ähnlichen Oberächen mit ihren normalen Bewegungsraten entlangbewegen. Für normale Bewegung an diesen Oberächen ist keine Probe nötig. Für Sprinten-Proben sollte allerdings die Fertigkeit Akrobatik statt der Fertigkeit Laufen eingesetzt werden.
Weissagung;M;Speziell;Speziell;Speziell;SG S. 230;;;WEISSAGUNG Art: M Handlung: Speziell Reichweite: Speziell Dauer: Speziell Diese Kraft funktioniert wie die Metamagie Weissagung (S. 171), nur dass der Geist hierfür Magie + Intuition statt Arkana + Logik verwendet. WEISSAGUNG Auf der Astralebene kann man Astralschatten dessen, was physisch heute existiert, Schatten von vergangenen Gegenständen und Ereignissen und vielleicht sogar Schatten von zukünftigen Ereignissen nden. Die Astralebene ist voller verschmelzender Reste von Gefühlen, Gedanken und Auren von allem und jedem. [...]
Wetterbeherrschung;P;Komplex;BF;A;SR5 S. 402;;;"WETTERBEHERRSCHUNG Art: P Handlung: Komplex Reichweite: BF Dauer: Aufrechterhalten Mit dieser Kraft kann ein Critter in gewissem Ausmaß die örtlichen Wetterbedingungen manipulieren. Das gewünschte Wetter muss unter normalen Bedingungen in der Umgebung möglich sein; Schneestürme in Äquatorialafrika lassen sich damit also nicht erzeugen. Das Wetter verändert sich allmählich und erreicht seinen Höhepunkt, sobald der Critter seine Ausgedehnte Probe auf Magie + Willenskraft (10, 30 Minuten) vollendet. Genau genommen beherrscht der Critter nicht wirklich das Wetter, er beschwört es nur und schiebt es in die gewünschte Richtung. Ein Critter kann beispielsweise ein Gewitter heraufbeschwören, aber nicht die Blitze gezielt einsetzen"
Zähigkeit;P;Auto;S;I;CR S. 202;;;ZÄHIGKEIT Art: P Handlung: Auto Reichweite: Selbst Dauer: Immer Der Critter ist ein zäher kleiner Mistkerl. Jede Stufe dieser Kraft verleiht ihm ein zusätzliches Kästchen auf dem Körperlichen Zustandsmonitor. Wenn keine Stufe für diese Kraft angegeben ist, verwenden Sie das Magieattribut des Critters als Stufe.
Zwang;M;Komplex;BF;A;SR5 S. 402;;;"ZWANG Art: M Handlung: Komplex Reichweite: BF Dauer: Aufrechterhalten Mit dieser Kraft kann ein Critter ein Opfer zu einer bestimmten Handlung zwingen, selbst wenn diese Handlung nicht zum Vorteil des Opfers ist. Der Critter legt eine Vergleichende Probe auf Magie + Charisma gegen Willenskraft + Logik des Opfers ab; verliert das Opfer, muss es sofort die erzwungene Handlung ausführen. Dem Opfer ist dabei sofort klar, dass es zum Handeln gezwungen wurde. Diese Kraft kann nicht dazu genutzt werden, dem Opfer zukünftige erzwungene Handlungen zu suggerieren; sobald die Kraft nicht mehr aufrechterhalten wird, ist das Opfer wieder Herr seiner selbst."
